identifier,first_name,middle_name,last_name,email,gender,birthdate
( NEWID(), '1', 'Judas', '', 'Winsiowiecki', 'lwinsiowiecki0@weather.com', 'Male', '2015-04-27' )
( NEWID(), '2', 'Dael', 'Edwina', 'Trousdale', 'etrousdale1@skype.com', 'Female', '1995-09-28' )
( NEWID(), '3', 'Liva', 'Vera', 'Franzelini', 'vfranzelini2@furl.net', 'Female', '1997-03-18' )
( NEWID(), '4', 'Beitris', '', 'Handy', 'mhandy3@usatoday.com', 'Female', '1998-11-24' )
( NEWID(), '5', 'Linnie', 'Juline', 'Varty', 'jvarty4@techcrunch.com', 'Female', '2007-12-23' )
( NEWID(), '6', 'Kane', 'Trudi', 'Glawsop', 'tglawsop5@tuttocitta.it', 'Female', '2010-10-18' )
( NEWID(), '7', 'Fannie', '', 'Corbert', 'ncorbert6@360.cn', 'Female', '2004-02-19' )
( NEWID(), '8', 'Estrella', '', 'Giggie', 'ngiggie7@harvard.edu', 'Female', '1987-06-18' )
( NEWID(), '9', 'Winona', '', 'Bus', 'rbus8@ovh.net', 'Female', '1991-06-27' )
( NEWID(), '10', 'Nanete', 'Emmalee', 'Kurton', 'ekurton9@npr.org', 'Female', '2002-09-09' )
( NEWID(), '11', 'Celesta', '', 'Atterley', 'gatterleya@arizona.edu', 'Female', '1992-10-17')
( NEWID(), '12', 'Alec', '', 'Really', 'lreallyb@vinaora.com', 'Male', '1988-03-03' )
( NEWID(), '13', 'Cordula', '', 'McClifferty', 'amccliffertyc@angelfire.com', 'Female', '2009-04-08' )
( NEWID(), '14', 'Vassili', 'Paco', 'Hammarberg', 'phammarbergd@biglobe.ne', 'Male', '2000-06-20' )
( NEWID(), '15', 'Jerald', 'Tab', 'Kilmary', 'tkilmarye@ucsd.edu', 'Male', '1987-09-10' )
( NEWID(), '16', 'Teodorico', 'Harlan', 'Curtayne', 'hcurtaynef@umich.edu', 'Male', '2011-01-23' )
( NEWID(), '17', 'Park', '', 'Gowdridge', 'agowdridgeg@spiegel.de', 'Male', '1980-03-12' )
